iba junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction|taimiyu savage junction
bus stop,TR,bus stop|empire bus stop|sabo bus stop
araromi,TR,aromire|araromi|araromi
akesan junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction
abule odu,TR,abule|abule-ado|abule-oshun
iyana ipaja,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
iyana iba,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
iba estate,TR,ajao estate|oniru estate
iyana school,TR,iyana isolo|iyana-ipaja|iyana school|law school|iyana itire
iba junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction|taimiyu savage junction
bus stop,TR,bus stop|empire bus stop|sabo bus stop
araromi,TR,aromire|araromi|araromi
akesan junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction
iyana iba,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
iba estate,TR,ajao estate|oniru estate
iyana school,TR,iyana isolo|iyana-ipaja|iyana school|law school|iyana itire
iba junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction|taimiyu savage junction
bus stop,TR,bus stop|empire bus stop|sabo bus stop
araromi,TR,aromire|araromi|araromi
akesan junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction
ikotun,TE,ikotun|ikota
iyana iba,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
iba estate,TR,ajao estate|oniru estate
iyana school,TR,iyana isolo|iyana-ipaja|iyana school|law school|iyana itire
iba junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction|taimiyu savage junction
bus stop,TR,bus stop|empire bus stop|sabo bus stop
araromi,TR,aromire|araromi|araromi
akesan junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction
abule odu,TR,abule|abule-ado|abule-oshun
cele,TR,cele express|cele|cele
ile zik,TR,ile zik|ile-iwe
ikeja along,TR,ikeja along|ikeja|ikeja bridge
ikeja,TE,ikeja along|ikeja|ikeja bridge
iyana iba,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
alabarago,TR,alaba|alabarago
moshalasi 2,TR,moshalasi|moshalasi 2
under bridge,TR,underbridge busstop kilo|ikeja bridge|under bridge
araromi,TR,aromire|araromi|araromi
mammy market ibereko,TR,new market|mammy market ibereko
badagry garage,TE,bus garage|badagry garage
iyana iba,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
alabarago,TR,alaba|alabarago
moshalasi 2,TR,moshalasi|moshalasi 2
under bridge,TR,underbridge busstop kilo|ikeja bridge|under bridge
araromi,TR,aromire|araromi|araromi
mammy market ibereko,TR,new market|mammy market ibereko
badagry garage,TR,bus garage|badagry garage
iyana iba,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
alabarago,TR,alaba|alabarago
moshalasi 2,TR,moshalasi|moshalasi 2
under bridge,TR,underbridge busstop kilo|ikeja bridge|under bridge
estate junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction|ajao estate|oniru estate
junction ,TR,itire Rd Junction|okada junction|aswani market junction|aye junction|taimiyu savage junction
estate junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction|ajao estate|oniru estate
junction ,TR,itire Rd Junction|okada junction|aswani market junction|aye junction|taimiyu savage junction
oke afa,TR,oke afa|ori-oke
pako,TR,pako|pako|pako
isolo,TR,isolo|iyana isolo
barracks,TR,barracks
ago roundabout,TR,ikeja plaza roundabout|eko hotel roundabout|1st roundabout lekki|2nd roundabout lekki|3rd roundabout lekki|5th roundabout lekki|6th roundabout lekki|7th roundabout lekki
ago junction,TR,itire Rd Junction|okada junction|ago|aswani market junction|aye junction|taimiyu savage junction
cele express,TE,alaba express|cele express|cele|apapa expressway |cele
ikotun,TE,ikotun|ikota
Ile iwe,TR,ile zik|ile-iwe
cele,TR,cele express|cele|cele
ori-oke,TR,orile|oke afa|ori-oke
ile-epo,TR,ile zik|ile-iwe
ejigbo,TR,ejigbo|igbo efon
oke afa,TR,oke afa|ori-oke
aye junction,TR,itire Rd Junction|okada junction|aswani market junction|aye junction|taimiyu savage junction
aswani market junction,TR,okada junction|aswani market junction|aye junction
barracks,TR,barracks
anthony,TR,anthony
first pedro,TR,first gate|first gate
second pedro,TR,second gate|second gate
new garage,TR,bus garage|tipper garrage|badagry garage
iyana oworo,TR,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
leventis,TR,leventis|leventis
ikotun,TE,ikotun|ikota
Ile iwe,TR,ile zik|ile-iwe
cele,TR,cele express|cele|cele
ori-oke,TR,orile|oke afa|ori-oke
ile-epo,TR,ile zik|ile-iwe
ejigbo,TR,ejigbo|igbo efon
oke afa,TR,oke afa|ori-oke
pako,TR,pako|pako|pako
isolo,TE,isolo|iyana isolo
iyana ipaja,TE,iyana isolo|iyana-ipaja|iyana school|iyana itire|iyanaoba
abule odu,TR,abule|abule-ado|abule-oshun
ikotun,TE,ikotun|ikota
ikotun,TE,ikotun|ikota
Ile iwe,TR,ile zik|ile-iwe
cele,TR,cele express|cele|cele
ori-oke,TR,orile|oke afa|ori-oke
ile-epo,TR,ile zik|ile-iwe
ejigbo,TE,ejigbo|igbo efon
