oshopey,TR,"oshopey,721"
hospital,TR,"hospital,720"
ladipo,TR,"ladipo,719"
alade,TR,"alade,718"
allen,TR,"allen,716"
ikeja,TE,"ikeja,714"
ojuelegba bus station,TE,"ojuelegba bus station,664"
empire,TR,"empire bus stop,886"
moshalasi,TR,"moshalasi,700"
idi-oro,TR,"idi-oro,696"
olosha,TR,olosha,702
mushin,TR,"mushin,701"
ap club,TR,"ap club,690"
olorunsogo,TR,"olorunsogo,703"
challenge,TR,"challenge,692"
coca cola,TR,"cocacola,694"
cappa,TR,"cappa,691"
oshodi,TR,"oshopey,721"
bolade,TR,"alade,718"
ladipo,TR,"ladipo,719"
shogunle,TR,shogunle,902
pwd,TR,"pwd,739"
airport,TR,"airport,730"
ikeja along,TR,"ikeja along,711"
ajayi farm,TR,"ajayi farm,740"
ile zik,TR,"ile zik,741"
bank,TR,bank,911
old abeokuta rd,TR,old abeokuta rd,912
agege pen cinema,TR,"agege pen cinema,753"
odo eran,TR,"odo eran,751"
second gate,TR,"second gate,750"
ogba,TE,"ogba,749"
ojuelegba bus station,TE,"ojuelegba bus station,664"
baba ijebu,TR,baba ijebu,897
barracks,TR,"barracks,647"
stadium,TR,"stadium,671"
alaka,TR,"alaka,646"
costain,TR,costain,901
leventis,TR,"leventis,802"
cms,TE,"cms,803"
ojuelegba bus station,TE,"ojuelegba bus station,664"
jibowu,TR,"jibowu,705"
fadeyi,TR,"fadeyi,706"
onipanu,TR,"onipanu,707"
palmgrove,TR,"palmgrove,708"
obanikoro,TR,"obanikoro,709"
anthony,TR,"anthony,710"
idiroko,TR,"idiroko,783"
maryland,TR,"maryland,744"
ojota,TR,"ojota,785"
ketu,TR,"ketu,786"
iyana school,TR,"iyana school,780"
mile 12 underbridge,TR,mile 12 underbridge,913
cms,TE,"cms,803"
barracks,TR,"barracks,804"
bonny camp,TR,bonny camp,914
oniru,TR,"oniru beach,828"
oniru beach,TR,"oniru,893"
law school,TR,"law school,829"
sandfill,TR,"sandfill,830"
oniru estate,TR,"oniru estate,831"
1st roundabout lekki,TR,"1st roundabout lekki,832"
new market,TR,"new market,833"
2nd roundabout lekki,TR,"2nd roundabout lekki,835"
mobalaji johnson,TR,"mobolaji johnson,836"
elf,TR,"elf,837"
3rd roundabout lekki,TR,"3rd roundabout lekki,838"
ikate,TR,"ikate,894"
chisco,TR,"chisco,839"
chisco,TR,"chisco,839"
ilasan,TR,"ilasan,840"
salem,TR,"salem,841"
5th roundabout lekki,TR,"5th roundabout lekki,842"
agungi,TR,"agungi,843"
igbo efon,TR,"igbo efon,845"
kings guard,TR,"kings guard,846"
7th roundabout lekki,TR,"7th roundabout lekki,847"
tipper garage,TR,"tipper garrage,849"
2nd tollgate,TR,"2nd toll gate,850"
total,TR,"total,851"
ikota,TR,"ikota,852"
eleganza shopping complex,TR,"eleganza,794"
ilaje,TR,"ilaje,853"
ajah,TE,"ajah,854"
1st roundabout lekki,TE,"1st roundabout lekki,832"
oniru estate,TR,"oniru estate,831"
sandfill,TR,"sandfill,830"
law school,TR,"law school,829"
falomo,TR,falomo,915
obalende,TE,"obalende,805"
1st roundabout lekki,TE,"1st roundabout lekki,832"
oniru estate,TR,"oniru estate,831"
sandfill,TR,"sandfill,830"
law school,TR,"law school,829"
oniru beach,TR,"oniru,893"
oniru,TR,"oniru beach,828"
bonny camp,TR,bonny camp,914
barracks,TR,"barracks,804"
cms,TE,"cms,803"
1st roundabout lekki,TE,"1st roundabout lekki,832"
oniru estate,TR,"oniru estate,831"
sandfill,TR,"sandfill,830"
law school,TR,"law school,829"
oniru beach,TR,"oniru,893"
oniru,TR,"oniru beach,828"
bonny camp,TR,bonny camp,914
barracks,TR,"barracks,804"
cms,TR,"cms,803"
leventis,TR,"leventis,802"
costain,TE,costain,901
oshodi,TE,"oshopey,721"
maryland,TR,"maryland,744"
ojota,TR,"ojota,785"
ketu,TR,"ketu,786"
mile 12 underbridge,TR,mile 12 underbridge,913
owode,TR,"owode,787"
irawo,TR,"irawo,860"
police post,TR,"police post,861"
ogolonto,TR,"ogolonto,862"
oja,TR,"oja,863"
agric,TR,"agric (ikorodu),864"
cele,TR,"cele,865"
haruna,TR,"haruna,866"
tos benson,TR,"tos benson,867"
ikorodu garage,TE,"agric (ikorodu),864"
mile 2,TE,mile 2,889
maza maza,TR,"maza maza,868"
mosalashi,TR,"mosalashi,869"
pako,TR,"pako,769"
second gate,TR,"second gate,870"
agboju,TR,"agboju,770"
oluti,TR,"oluti,771"
alakija,TR,"alakija,772"
dantata,TR,"dantata,871"
v-niger,TR,"v-niger,773"
abule-ado,TR,"abule-ado,774"
trade fair,TR,"trade fair,777"
abule-oshun,TR,"abule-oshun,778"
onireke,TR,"onireke,775"
barracks,TR,"barracks,776"
agric,TR,"agric,872"
ilaje,TR,"ilaje,873"
volks,TR,"volks,874"
iyana iba,TR,"iyanaoba,875"
ppl,TR,"ppl,876"
